"","University","Professor","Course","Difficulty","OverallRating","Comments","Date","Unhelpful","Helpful","Grade"
"1","University of Maine","Constance Hunting","ENG205","1.0","5.0","Awesome teacher, the literary community lost a great one in Connie.",2006-04-08,"0","0","N/A"
"2","University of Maine","Constance Hunting","ENG205","1.0","5.0","Extremely easy teacher. No syllabus or real assignments; ""just write"".",2006-03-20,"0","0","N/A"
"3","University of Maine","Constance Hunting","WRITING","1.0","5.0","Best.  Professor.  Ever.",2005-08-31,"0","0","B+"
"4","University of Maine","Constance Hunting","ENG317","1.0","3.0","doesn't give feed back (except  it flows  or  good )",2002-12-08,"0","0","N/A"
"5","University of Maine","Constance Hunting","ENG205","1.0","5.0","best english ever, helpful and nice",2002-11-07,"0","0","N/A"
"6","University of Maine","Constance Hunting","ENG205","3.0","5.0","Great teacher. Funny, personable and knows her stuff.",2001-10-26,"0","0","N/A"
"7","University of Maine","Constance Hunting","ENG308E","1.0","5.0","Connie is great! Extremely funny and a great poet",2001-07-02,"0","0","N/A"
"8","University of Maine","Joe Kelley","ERS108","2.0","4.0","The grade is based on exams, be prepared to study for them. Look back at past exams online and the ones he posts because he's bound to reuse similar questions. Book is not necessary as all information and notes can be found through his lecture and slides, so pay attention to what he says.",2017-05-12,"0","1","A"
"9","University of Maine","Joe Kelley","SMS108","4.0","2.0","Kelley is a super nice guy, but lectures for this class are long and end up getting tedious quickly: each class is just 30-50 slides of mostly pictures. He's super spacey, and forgets a lot of things he promises to do (scaling exams, posting SGs...) There is no credit for participation but don't skip. Read the book and do the study guides he posts.",2017-05-08,"0","1","N/A"
"10","University of Maine","Joe Kelley","SMS108","5.0","4.0","There are only four grades for this course so WORK. If you're a thorough reader you can skip non-exam classes and print off the slides from it. Most of you will want to go anyway because he drops information that is neither in the book nor the slides. For the final: memorize answers to all your exams and all the previous years' exams he offers.",2016-09-09,"0","0","A"
"11","University of Maine","Joe Kelley","SMS108","3.0","4.0","Tests are fairly easy if you study the prior ones online, but to understand the material you need to go to class",2016-08-13,"0","0","A-"
"12","University of Maine","Joe Kelley","SMS108","4.0","3.5","He reads directly off his slides and posts them on blackboard to make fore easy access. During class he will mention specific things that are on each test. He posts old exams and study guides which are really helpful. The only downside is there are only 3 test and the final, so you have to do well on each one to get a good grade in the class.",2016-05-07,"0","0","A-"
"13","University of Maine","Joe Kelley","ERS460","3.0","4.5","Really interesting guy, passionate about what he teaches- does not teach to the test or textbook, more for you to just enjoy, which makes it difficult to pass the tests of course. Super interesting class, would try to take more upper-level classes with this man.",2016-05-05,"0","0","B+"
"14","University of Maine","Joe Kelley","SMSERS108","3.0","3.5","Kelley is a very nice man.  Lectures can tend to be boring, but everything is straightforward enough to earn a good grade in the end!",2015-03-31,"0","0","N/A"
"15","University of Maine","Joe Kelley","ERS108","1.0","4.0","very easy! just study all the prior test! my year the final grade scale was A=85+ B=75 C=65",2014-07-09,"1","0","N/A"
"16","University of Maine","Joe Kelley","SMS001","5.0","3.0","Beaches&Coasts: Hard class, did not scale tests correctly as promised, not very nice attitude, disregards questions, tests very hard and did not reflect course materials, should not be a 100 level class, confusing, no direction is what was important to remember for the tests, no extra credit or course work offered-entire grade depends on 3 tests.",2011-05-13,"1","0","N/A"
"17","University of Maine","Joe Kelley","SMS108","3.0","2.0","Lecture format is really confusing and it's really hard to pay attention. If you study the past tests he posts on WebCT really closely, you'll do well because he tests on almost the same things each year and if you do that going to class isn't really necessary...",2010-05-14,"1","0","N/A"
"18","University of Maine","Joe Kelley","ERS108","3.0","4.0","I thought this class would be boring but he makes it interesting with some dry humor and slides! Tests are not as easy as you might hope but he gives you alot of direction on what the exams consist of and seems like he wants you to enjoy his class.",2008-04-03,"0","0","N/A"
"19","University of Maine","Joe Kelley","SMS108","3.0","2.5","This class is terrible.  It has potential to be interesting but Prof. Kelley doesn't do anything.  He is funny, just not in class.  DO NOT BUY THE BOOK.  He has all the chapters you need to read online.",2007-05-06,"0","0","N/A"
"20","University of Maine","Joe Kelley","ERS108","2.0","4.0","The material was more boring than I expected. He didn't really make it more interesting but he does seem like a nice guy and kind of funny. Tests weren't too bad. I thought the multi choice part was harder than the short answer",2006-05-07,"0","0","N/A"
"21","University of Maine","Joe Kelley","ERS108","4.0","3.5","Joe is a great guy.  The tests weren't so much ""hard"" as they were ""hard to study for.""  There are no study guides, just previous years' exams, so you have to do a lot of memorization of terms, and there is a lot of material.  The tests are set up half multiple choice and half fill in the blank, so the fill ins are what kills you.  Go to class!!!",2006-05-03,"1","0","N/A"
"22","University of Maine","Joe Kelley","ERS108","1.0","4.0","He is funny and the course is easy.  He gives last years exams on the internet and the tests are like 75% the same.  He even organized a field trip.",2005-05-02,"0","1","N/A"
"23","University of Maine","Joe Kelley","GES102","2.0","5.0","You want to take this guy for Geology. Hes a roit and very helpful",2001-11-13,"0","0","N/A"
"24","University of Maine","Joe Kelley","GES102","2.0","4.5","joe is a great guy; if you need anything, just ask him.",2001-06-04,"0","0","N/A"
"25","University of Maine","Joe Kelley","GEO102","5.0","2.5","Funny teacher but the tests were hard and he took notes fast",2001-05-14,"0","0","A"
